Institute Name,Institute Type,Location,Total Rating,Phone Number,Website Link
St James's Hospital,"University hospital
Dublin 8, Ireland
Open 24 hours","Dublin 8, Ireland",,+353 1 410 3000,http://www.stjames.ie/
Bon Secours Hospital Galway,"Hospital
Galway, Ireland
Open 24 hours","Galway, Ireland",,+353 91 381 900,http://www.bonsecours.ie/galway
St Michael's Hospital,"Hospital
County Dublin, Ireland
Open ⋅ Closes 8 pm","County Dublin, Ireland",,+353 1 663 9800,http://www.stmichaels.ie/
University Hospital Limerick,"Hospital
Dooradoyle, County Limerick, Ireland
Open 24 hours","Dooradoyle, County Limerick, Ireland",,+353 61 301 111,https://www2.hse.ie/services/hospitals/university-hospital-limerick/
University Hospital Galway,"University hospital
Galway, Ireland
Open now","Galway, Ireland",,+353 91 524 222,https://saolta.ie/hospital/university-hospital-galway
South Infirmary Victoria University Hospital,"Hospital
Cork, Ireland
Open 24 hours","Cork, Ireland",,+353 21 492 6100,http://www.sivuh.ie/
Beaumont Hospital,"Hospital
Dublin, Ireland
Open 24 hours","Dublin, Ireland",,+353 1 809 3000,http://www.beaumont.ie/
Nenagh Hospital,"Hospital
Nenagh, County Tipperary, Ireland
Open ⋅ Closes 8 pm","Nenagh, County Tipperary, Ireland",,+353 67 31491,https://www2.hse.ie/services/hospitals/nenagh-hospital/
Mayo University Hospital,"Hospital
Castlebar, County Mayo, Ireland
Open 24 hours","Castlebar, County Mayo, Ireland",,+353 94 902 1733,http://www.hse.ie/eng/services/list/3/acutehospitals/hospitals/mayo/
Cork University Hospital,"University hospital
Cork, Ireland
Open now","Cork, Ireland",,+353 21 492 2000,http://www.cuh.hse.ie/Contact-Us/
Beacon Hospital Dublin,"Private hospital
Dublin 18, Ireland
Open ⋅ Closes 7 pm","Dublin 18, Ireland",,+353 1 293 6600,https://www.beaconhospital.ie/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-sandyford
Mercy University Hospital,"Hospital
Cork, Ireland
Open 24 hours","Cork, Ireland",,+353 21 427 1971,https://www.muh.ie/
Portiuncula University Hospital,"Hospital
Ballinasloe, County Galway, Ireland
Open 24 hours","Ballinasloe, County Galway, Ireland",,+353 90 964 8200,https://www2.hse.ie/services/hospitals/portiuncula-university-hospital/
UPMC Kildare Hospital,"Hospital
Clane, County Kildare, Ireland
Open ⋅ Closes 12 am","Clane, County Kildare, Ireland",,+353 45 982 300,https://upmc.ie/locations/hospitals/kildare?utm_source=google&utm_campaign=business-profile&utm_content=upmc-kildarehospital-clane-website
Merlin Park University Hospital,"Hospital
Galway, Ireland
Open 24 hours","Galway, Ireland",,+353 91 544 544,https://www2.hse.ie/services/hospitals/merlin-park-university-hospital/
St. Joseph's Hospital Raheny,"Hospital
Dublin 5, Ireland
Open ⋅ Closes 10 pm","Dublin 5, Ireland",,+353 1 877 4900,http://beaumont.ie/index.jsp?p=105&n=288
Bon Secours Hospital Dublin,"Hospital
Dublin 9, Ireland
Open 24 hours","Dublin 9, Ireland",,+353 1 806 5300,http://www.bonsecours.ie/dublin
University Hospital Waterford,"University hospital
Waterford, Ireland
Open 24 hours","Waterford, Ireland",,+353 51 848 000,http://www.hse.ie/eng/services/list/3/acutehospitals/hospitals/waterford/
Ennis Hospital,"Hospital
Ennis, County Clare, Ireland
Open ⋅ Closes 8 pm","Ennis, County Clare, Ireland",,+353 65 682 4464,https://www2.hse.ie/services/hospitals/ennis-hospital/
