Institute Name,Institute Type,Location,Total Rating,Phone Number,Website Link
Belford Hospital,"General hospital
Fort William, United Kingdom
Open 24 hours","Fort William, United Kingdom",,+44 1397 702481,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/belford-hospital-fort-william/
Ross Hall Hospital,"Hospital
Glasgow, United Kingdom
Open ⋅ Closes 11 pm","Glasgow, United Kingdom",,+44 141 810 3151,https://www.circlehealthgroup.co.uk/hospitals/ross-hall-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=rosshall
Golden Jubilee National Hospital,"Hospital
Clydebank, United Kingdom
Closes soon ⋅ 5 pm","Clydebank, United Kingdom",,+44 141 951 5000,http://www.nhsgoldenjubilee.co.uk/
University Hospital Monklands,"University hospital
Airdrie, United Kingdom
Open 24 hours","Airdrie, United Kingdom",,+44 1236 748748,https://www.nhslanarkshire.scot.nhs.uk/hospitals/university-hospital-monklands/
Western General Hospital,"Government hospital
Edinburgh, United Kingdom
Open ⋅ Closes 9 pm","Edinburgh, United Kingdom",,+44 131 537 1000,https://www.nhslothian.scot/goingtohospital/western-general-hospital/
Broadford Hospital,"Hospital
Isle of Skye, United Kingdom
Open 24 hours","Isle of Skye, United Kingdom",,+44 1471 822491,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/broadford-hospital-skye/
County Community Hospital,"Hospital
Invergordon, United Kingdom
Open ⋅ Closes 6 pm","Invergordon, United Kingdom",,+44 1349 852496,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/county-community-hospital-invergordon/
Forth Valley Royal Hospital,"Hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1324 566000,http://nhsforthvalley.com/
Vale of Leven District Hospital,"Hospital
Alexandria, United Kingdom
Open 24 hours","Alexandria, United Kingdom",,+44 1389 828599,https://www.nhsggc.scot/hospitals-services/main-hospitals/vale-of-leven/
Stobhill Hospital,"General hospital
Glasgow, United Kingdom
Open ⋅ Closes 9 pm","Glasgow, United Kingdom",,+44 141 201 3000,https://www.nhsggc.scot/hospitals-services/main-hospitals/new-stobhill/
Albyn Hospital,"Hospital
Aberdeen, United Kingdom
Open ⋅ Closes 9 pm","Aberdeen, United Kingdom",,+44 1224 595993,https://www.circlehealthgroup.co.uk/hospitals/albyn-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmialbyn
University Hospital Crosshouse,"University hospital
Kilmarnock, United Kingdom
Open 24 hours","Kilmarnock, United Kingdom",,+44 1563 521133,https://www.nhsaaa.net/hospitals/university-hospital-crosshouse/
Queen Elizabeth University Hospital,"University hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 201 1100,https://www.nhsggc.scot/hospitals-services/main-hospitals/queen-elizabeth/
Borders General Hospital,"General hospital
Melrose, United Kingdom
Open 24 hours","Melrose, United Kingdom",,+44 1896 826000,N/A
Kings Park Hospital,"Hospital
Stirling, United Kingdom
Open ⋅ Closes 11 pm","Stirling, United Kingdom",,+44 1786 451669,https://www.circlehealthgroup.co.uk/hospitals/kings-park-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmikingspark
Glasgow Royal Infirmary,"General hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 211 4000,https://www.nhsggc.org.uk/patients-and-visitors/main-hospital-sites/glasgow-royal-campus/glasgow-royal-infirmary/
Western Isles Hospital,"Hospital
Stornoway, United Kingdom
Open 24 hours","Stornoway, United Kingdom",,+44 1851 704704,http://www.wihb.scot.nhs.uk/
St John's Hospital,"General hospital
Livingston, United Kingdom
Open 24 hours","Livingston, United Kingdom",,+44 1506 523000,https://www.nhslothian.scot/goingtohospital/st-johns-hospital/
Royal Infirmary of Edinburgh,"General hospital
Edinburgh, United Kingdom
Open 24 hours","Edinburgh, United Kingdom",,+44 131 536 1000,https://www.nhslothian.scot/
Stracathro Hospital,"Hospital
Brechin, United Kingdom
Open now","Brechin, United Kingdom",,+44 1356 647291,http://www.nhstayside.scot.nhs.uk/patients/hospital/STRACATH_HOSP.shtml
Dr. Gray's Hospital,"General hospital
Elgin, United Kingdom
Open 24 hours","Elgin, United Kingdom",,+44 345 456 6000,http://www.nhsgrampian.org/
St Andrews Community Hospital,"Hospital
United Kingdom
Open ⋅ Closes 6 pm",United Kingdom,,+44 1334 465656,https://www.nhsfife.org/services/hospitals-and-health-centres/hospitals/st-andrews-community-hospital/
Spire Murrayfield Hospital,"Private hospital
Edinburgh, United Kingdom
Open 24 hours","Edinburgh, United Kingdom",,+44 131 334 0363,https://www.spirehealthcare.com/spire-edinburgh-hospitals-murrayfield-and-shawfair-park/?utm_source=google&utm_medium=organic&utm_campaign=Hospital_GMB
Raigmore Hospital,"General hospital
Inverness, United Kingdom
Open 24 hours","Inverness, United Kingdom",,+44 1463 704000,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/raigmore-hospital-inverness/
University Hospital Hairmyres,"General hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 1355 585000,https://www.nhslanarkshire.scot.nhs.uk/hospitals/university-hospital-hairmyres/
Perth Royal Infirmary,"Hospital
Perth, United Kingdom
Closes soon ⋅ 5 pm","Perth, United Kingdom",,+44 1738 623311,http://www.nhstayside.scot.nhs.uk/index.htm
University Hospital Wishaw,"General hospital
Wishaw, United Kingdom
Open 24 hours","Wishaw, United Kingdom",,+44 1698 361100,https://www.nhslanarkshire.scot.nhs.uk/hospitals/university-hospital-wishaw/
New Victoria Hospital,"Hospital
Glasgow, United Kingdom
Open ⋅ Closes 9 pm","Glasgow, United Kingdom",,+44 141 201 6000,https://www.nhsggc.scot/hospitals-services/main-hospitals/new-victoria/
Inverclyde Royal Hospital,"General hospital
Greenock, United Kingdom
Open 24 hours","Greenock, United Kingdom",,+44 141 314 9504,N/A
East Lothian Community Hospital,"Hospital
Haddington, United Kingdom
Open 24 hours","Haddington, United Kingdom",,+44 1620 642700,https://www.nhslothian.scot/goingtohospital/east-lothian-community-hospital/
University Hospital Ayr,"University hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1292 610555,https://www.nhsaaa.net/services/hospitals/university-hospital-ayr/
St Margaret's Hospital,"Hospital
Auchterarder, United Kingdom
Open ⋅ Closes 6 pm","Auchterarder, United Kingdom",,+44 1764 662246,http://www.nhstayside.scot.nhs.uk/GoingToHospital/OurPremisesA-Z/StMargaretsHospital/index.htm
Uist and Barra Hospital NHS,"Hospital
Isle of Benbecula, United Kingdom
Open 24 hours","Isle of Benbecula, United Kingdom",,+44 1870 603600,https://www.wihb.scot.nhs.uk/about-us/our-hospitals-and-healthcare-premises/hospitals/
Ross Memorial Hospital,"General hospital
Closes soon ⋅ 5 pm",Closes soon ⋅ 5 pm · +44 1349 863313,,N/A,http://www.nhshighland.scot.nhs.uk/Services/Pages/RossMemorialHospital.aspx
Aberdeen Royal Infirmary,"General hospital
Aberdeen, United Kingdom
Open 24 hours","Aberdeen, United Kingdom",,+44 345 456 6000,http://www.nhsgrampian.org/
Ailsa Hospital,"Hospital
Ayr, United Kingdom
Open 24 hours","Ayr, United Kingdom",,+44 1292 610556,https://www.nhsaaa.net/hospitals/ailsa-hospital/
Kelso Hospital,"Hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1573 223441,http://www.nhsborders.scot.nhs.uk/patients-and-visitors/our-services/hospitals/kelso-community-hospital/
Midlothian Community Hospital,"Hospital
Dalkeith, United Kingdom
Open 24 hours","Dalkeith, United Kingdom",,+44 131 454 1001,https://www.nhslothian.scot/goingtohospital/midlothian-community-hospital/
Blairgowrie Cottage Hospital,"General hospital
Blairgowrie, United Kingdom
Closes soon ⋅ 4:30 pm","Blairgowrie, United Kingdom",,+44 1250 874466,http://www.nhstayside.scot.nhs.uk/GoingToHospital/OurPremisesA-Z/BlairgowrieCommunityHospital/index.htm
Lawson Memorial Hospital,"General hospital
Golspie, United Kingdom
Closes soon ⋅ 5 pm","Golspie, United Kingdom",,+44 1408 633157,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/lawson-memorial-hospital-golspie/
Royal Alexandra Hospital,"Hospital
Paisley, United Kingdom
Open 24 hours","Paisley, United Kingdom",,+44 141 314 7294,https://www.nhsggc.scot/hospitals-services/royal-alexandra/
Badenoch and Strathspey Community Hospital,"Hospital
Aviemore, United Kingdom
Open ⋅ Closes 6 pm","Aviemore, United Kingdom",,+44 1479 812618,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/badenoch-and-strathspey-community-hospital-aviemore/
