Institute Name,Institute Type,Location,Total Rating,Phone Number,Website Link
"London Bridge Hospital, part of HCA Healthcare UK","Hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3553 9022,https://www.hcahealthcare.co.uk/locations/hospitals/london-bridge-hospital?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=TheLondonBridgeHospital&y_source=1_NTI1MzYyMjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"The Lister Hospital, part of HCA Healthcare UK","Hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3993 7566,https://www.hcahealthcare.co.uk/locations/hospitals/the-lister-hospital?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=TheListerHospital&y_source=1_NTI1MzYyMTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"The Princess Grace Hospital, part of HCA Healthcare UK","Private hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3131 2549,https://www.hcahealthcare.co.uk/locations/hospitals/the-princess-grace-hospital?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=ThePrincessGraceHospital&y_source=1_NTI1MzYyMjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Cromwell Hospital,"Private hospital
London, United Kingdom
Open ⋅ Closes 8 pm","London, United Kingdom",,+44 20 7460 5700,https://www.cromwellhospital.com/
Royal Liverpool University Hospital,"University hospital
Liverpool, United Kingdom
Open ⋅ Closes 6 pm","Liverpool, United Kingdom",,+44 151 706 2000,http://www.rlbuht.nhs.uk/
The Beaumont Hospital,"Hospital
Bolton, United Kingdom
Open ⋅ Closes 8 pm","Bolton, United Kingdom",,+44 1204 404404,https://www.circlehealthgroup.co.uk/hospitals/the-beaumont-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmibeaumont
"The Wellington Hospital, part of HCA Healthcare UK","Private hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3733 5344,https://www.hcahealthcare.co.uk/locations/hospitals/the-wellington-hospital?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=TheWellingtonHospital&y_source=1_NTI1MzYyMTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Kingston Hospital,"General hospital
Kingston upon Thames, United Kingdom
Open 24 hours","Kingston upon Thames, United Kingdom",,+44 20 8546 7711,http://www.kingstonhospital.nhs.uk/
West Middlesex University Hospital,"University hospital
Isleworth, United Kingdom
Open 24 hours","Isleworth, United Kingdom",,+44 20 8560 2121,https://www.chelwest.nhs.uk/
Shirley Oaks Hospital,"Hospital
Croydon, United Kingdom
Open ⋅ Closes 10:30 pm","Croydon, United Kingdom",,+44 20 8655 5500,https://www.circlehealthgroup.co.uk/hospitals/shirley-oaks-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmishirleyoaks
Walsall Manor Hospital,"Government hospital
Walsall, United Kingdom
Open 24 hours","Walsall, United Kingdom",,+44 1922 721172,http://www.walsallhealthcare.nhs.uk/
The Wilmslow Hospital,"Private hospital
Wilmslow, United Kingdom
Open ⋅ Closes 8 pm","Wilmslow, United Kingdom",,+44 1625 241846,https://www.hcahealthcare.co.uk/Locations/Hospitals/The-Wilmslow-Hospital?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=TheWilmslow&y_source=1_NTI1MzYyMTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
