Institute Name,Institute Type,Location,Total Rating,Phone Number,Website Link
University Hospital of Wales,"University hospital
Cardiff, United Kingdom
Open 24 hours","Cardiff, United Kingdom",,+44 29 2074 7747,https://cavuhb.nhs.wales/hospitals-and-health-centres/our-hospitals/uhw/
Withybush Hospital,"General hospital
Haverfordwest, United Kingdom
Open 24 hours","Haverfordwest, United Kingdom",,+44 1437 764545,https://hduhb.nhs.wales/
Princess of Wales Hospital,"Hospital
Bridgend, United Kingdom
Open 24 hours","Bridgend, United Kingdom",,+44 1656 752752,N/A
Royal Glamorgan Hospital,"Hospital
Pontyclun, United Kingdom
Open 24 hours","Pontyclun, United Kingdom",,+44 1443 443443,https://ctmuhb.nhs.wales/hospitals/rgh/
Werndale Hospital,"Hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1267 225600,https://www.circlehealthgroup.co.uk/hospitals/werndale-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmiwerndale
Llandovery Community Hospital,"Hospital
Llandovery, United Kingdom
Open 24 hours","Llandovery, United Kingdom",,+44 1550 722200,N/A
Glangwili Hospital,"University hospital
Carmarthen, United Kingdom
Open 24 hours","Carmarthen, United Kingdom",,+44 1267 235151,https://hduhb.nhs.wales/healthcare/hospitals-and-centres/hospitals/glangwili-hospital/
Glan Clwyd Hospital,"General hospital
Rhyl, United Kingdom
Open 24 hours","Rhyl, United Kingdom",,+44 1745 583910,https://bcuhb.nhs.wales/services/hospitals/glan-clwyd-hospital/
Knighton Hospital,"General hospital
Knighton, United Kingdom
Open ⋅ Closes 4:30 am Sat","Knighton, United Kingdom",N/A,+44 1547 528633,https://pthb.nhs.wales/hospitals-and-centres/mid-powys/knighton-hospital/
Royal Gwent Hospital,"Hospital
Newport, United Kingdom
Open 24 hours","Newport, United Kingdom",,+44 1633 234234,https://abuhb.nhs.wales/hospitals/our-hospitals/royal-gwent-hospital/
The Grange University Hospital,"Hospital
Cwmbran, United Kingdom
Open 24 hours","Cwmbran, United Kingdom",,+44 1633 493100,https://abuhb.nhs.wales/clinical-futures1/the-grange-university-hospital1/
Llandrindod Wells War Memorial Hospital,"General hospital
Llandrindod Wells, United Kingdom
Open ⋅ Closes 12 am","Llandrindod Wells, United Kingdom",,+44 1597 822951,http://www.wales.nhs.uk/ourservices/directory/Hospitals/250
University Hospital Llandough,"General hospital
Penarth, United Kingdom
Open 24 hours","Penarth, United Kingdom",,+44 29 2071 1711,http://www.cardiffandvaleuhb.wales.nhs.uk/uhl-contact-information
